Rented Bike Count,Temperature,Humidity(%),Wind speed (m/s),Visibility (10m),Rainfall(mm),Snowfall (cm),Seasons
366,4,56,1,1352,0,0,Winter
342,4,58,1.4,1296,0,0,Winter
227,3.9,69,1.7,485,0,0,Winter
228,3.3,79,1.4,830,0,0,Winter
117,3.4,71,1.6,1011,0.5,0,Winter
76,3.5,73,1,1060,0,0,Winter
32,3.9,75,1.9,914,0,0,Winter
13,3.4,86,2.5,278,1,0,Winter
22,3.1,91,1.2,129,0,0,Winter
85,3.2,92,1.8,244,0,0,Winter
152,3.5,91,1.8,231,2.5,0,Winter
200,4.4,89,2.2,257,0,0,Winter
273,5.1,87,1.4,321,0,0,Winter
333,5.8,85,1.7,349,0,0,Winter
495,6.8,81,1.9,390,0,0,Winter
563,7.6,76,1.2,422,0,0,Winter
621,8,73,1.6,433,0,0,Winter
598,7.6,77,1.6,399,0,0,Winter
545,6.7,82,1.5,358,0,0,Winter
443,6,84,1.9,327,0,0,Winter
422,5.7,85,1.7,309,0,0,Winter
397,5.2,87,1.4,253,0,0,Winter
385,4.7,87,1.2,247,0,0,Winter
350,4.3,89,1.8,201,0,0,Winter
303,3.9,90,1.3,194,0,0,Winter
285,4.2,88,0.6,216,0,0,Winter
186,4.3,87,0.5,221,0,0,Winter
112,4.4,87,1.8,207,0,0,Winter
65,3.6,85,2.3,206,0,0,Winter
41,2.8,89,1.5,130,0,0,Winter
82,2,83,2.7,253,0,0,Winter
200,1.2,76,3.7,371,0.1,0,Winter
498,0.2,68,3.4,702,0,0,Winter
937,-0.8,69,3.5,954,0,0,Winter
509,-1.5,47,4.2,1888,0,0,Winter
311,-1.1,40,4.5,2000,0,0,Winter
379,-0.5,41,4.1,1799,0,0,Winter
393,-0.3,38,4.8,1823,0,0,Winter
391,0,30,5.4,1938,0,0,Winter
338,0.1,27,4.5,2000,0,0,Winter
341,-0.1,25,5.8,2000,0,0,Winter
375,-0.2,23,4.7,2000,0,0,Winter
515,-1.3,26,5.3,2000,0,0,Winter
807,-2.1,29,3.9,2000,0,0,Winter
568,-2.9,32,3.2,2000,0,0,Winter
398,-3.6,38,3,2000,0,0,Winter
397,-4.6,43,4.5,2000,0,0,Winter
353,-5.3,45,2.5,2000,0,0,Winter
248,-5.8,44,2.4,2000,0,0,Winter
216,-6.1,42,2.6,2000,0,0,Winter
198,-6.5,41,2.8,2000,0,0,Winter
124,-6.8,41,2.5,2000,0,0,Winter
62,-6.9,39,2,2000,0,0,Winter
42,-7.2,34,3,2000,0,0,Winter
82,-7.4,33,2.6,2000,0,0,Winter
172,-7.4,34,3.2,2000,0,0,Winter
381,-7.5,33,2.2,2000,0,0,Winter
812,-8.1,36,1.6,2000,0,0,Winter
462,-7.6,31,1.3,1974,0,0,Winter
269,-5.5,26,2.8,1967,0,0,Winter
334,-3.9,25,0,1959,0,0,Winter
321,-2.3,25,0,1962,0,0,Winter
325,-1.6,27,0,1955,0,0,Winter
334,-1.1,28,0,2000,0,0,Winter
353,-0.7,28,0,2000,0,0,Winter
435,-0.5,30,0,2000,0,0,Winter
529,-1.6,35,0,2000,0,0,Winter
789,-2.6,40,0,2000,0,0,Winter
597,-3.2,45,0,2000,0,0,Winter
418,-3.5,46,0,2000,0,0,Winter
415,-3.7,47,0,2000,0,0,Winter
393,-2.8,49,0,2000,0,0,Winter
244,-2.5,59,0,1210,0,0,Winter
145,-2.8,77,0,331,0.1,0.1,Winter
144,-3,79,0,293,0,0.3,Winter
117,-3,79,0,1862,0,0.4,Winter
78,-3.2,78,0,1808,0.2,0.4,Winter
58,-3.4,75,0,1982,0,0.4,Winter
87,-3.6,76,0,1934,0,0.4,Winter
142,-3.7,76,0,1864,0,0.4,Winter
379,-4.2,77,0,1741,0,0.3,Winter
802,-4.2,78,0,1518,0,0.2,Winter
440,-3.3,70,0,1324,0,0.2,Winter
307,-0.9,64,0,1224,0,0.2,Winter
381,1.6,57,1.2,1261,0,0,Winter
405,2.4,52,0.9,1224,0,0,Winter
442,4.2,47,1.1,1469,0,0,Winter
416,5.5,34,1,1966,0,0,Winter
412,5.5,31,3.1,1968,0,0,Winter
496,5.3,37,2.9,2000,0,0,Winter
239,4.1,60,2.5,1565,0,0,Winter
204,1.7,90,1,66,0.3,0.3,Winter
205,1.2,92,0.7,180,0,1,Winter
190,1.2,94,0.6,228,0,1,Winter
165,1.1,92,0.5,235,0.7,1,Winter
222,1.3,92,0.6,233,0,1,Winter
193,1.3,92,0.6,209,0,1,Winter
198,1.4,92,0.5,240,0,0.9,Winter
218,1.5,92,0.4,227,0,0.9,Winter
149,1.4,92,0.7,168,0,0.9,Winter
102,1.9,91,1.4,218,0,0.9,Winter
62,1.6,92,0.7,119,0,0.9,Winter
83,1.5,92,1.1,175,0,0.9,Winter
137,1,93,0.5,148,0,0.9,Winter
367,0.3,93,0.5,173,0,0.9,Winter
754,-0.2,96,0.8,173,0,0.8,Winter
415,0.1,91,0.8,265,0,0.8,Winter
321,1.1,83,0.7,311,0,0.7,Winter
333,2.3,69,1.7,628,0,0.6,Winter
431,3.7,65,2.4,833,0,0.3,Winter
394,4.1,37,3.1,1767,0,0,Winter
390,4.4,36,2.7,1975,0,0,Winter
430,4,35,3.1,1962,0,0,Winter
471,3.2,38,2.9,1817,0,0,Winter
552,2.1,50,2,1434,0,0,Winter
795,0.7,46,2.7,1558,0,0,Winter
507,-0.4,47,2.5,1269,0,0,Winter
390,-1.4,47,2.5,1620,0,0,Winter
402,-2.2,46,2.2,1975,0,0,Winter
389,-2.7,48,2.6,1844,0,0,Winter
259,-3.2,50,2.1,1887,0,0,Winter
233,-3.5,49,2.6,1893,0,0,Winter
230,-3.7,50,2.5,1902,0,0,Winter
131,-4.3,53,1,1918,0,0,Winter
99,-4.8,52,1.6,1978,0,0,Winter
71,-5.3,53,2.4,1936,0,0,Winter
84,-5.8,56,2,1941,0,0,Winter
158,-6,56,3.5,1853,0,0,Winter
387,-6.5,57,0.8,1776,0,0,Winter
780,-7,59,0.8,1559,0,0,Winter
395,-6.7,50,0.9,1492,0,0,Winter
261,-5.3,44,2.8,1516,0,0,Winter
310,-3.7,39,1.4,1595,0,0,Winter
355,-2,30,1.4,1728,0,0,Winter
354,-1.7,28,1.8,1963,0,0,Winter
350,-1.3,27,3.1,1906,0,0,Winter
362,-0.8,26,3.3,1977,0,0,Winter
401,-1.1,24,3.4,2000,0,0,Winter
500,-2.4,30,2.7,2000,0,0,Winter
752,-3.1,33,1.2,2000,0,0,Winter
477,-3.3,35,1.1,2000,0,0,Winter
384,-3.3,34,1.5,2000,0,0,Winter
336,-3.3,35,0.5,2000,0,0,Winter
347,-3.4,39,1.2,2000,0,0,Winter
275,-3.5,43,0.9,2000,0,0,Winter
267,-3.5,48,0.9,1967,0,0,Winter
296,-4.1,49,0.6,2000,0,0,Winter
237,-4.7,50,0.7,1983,0,0,Winter
169,-4.3,47,0.6,1992,0,0,Winter
96,-4.3,49,0.7,2000,0,0,Winter
56,-4.7,49,0.8,1999,0,0,Winter
76,-5.1,53,0.9,1975,0,0,Winter
127,-5.5,56,0.8,1950,0,0,Winter
222,-5.4,56,0.7,1940,0,0,Winter
291,-4.7,48,1,1784,0,0,Winter
273,-2.2,42,1.3,1646,0,0,Winter
351,0,45,1.1,1500,0,0,Winter
427,2.4,40,0.8,1809,0,0,Winter
431,3.9,36,2,1702,0,0,Winter
486,4.7,32,2.2,1948,0,0,Winter
569,5.2,30,2,1963,0,0,Winter
546,4.4,33,1.6,1963,0,0,Winter
481,3.5,37,1.8,1963,0,0,Winter
384,2.5,41,1,1974,0,0,Winter
275,1.5,48,0.4,1878,0,0,Winter
298,0.8,51,1.4,1848,0,0,Winter
321,-0.1,55,0.7,1654,0,0,Winter
289,-0.5,55,0.6,1655,0,0,Winter
265,-0.1,54,1.3,1570,0,0,Winter
326,-0.2,55,1,1629,0,0,Winter
280,-0.2,54,0.5,1747,0,0,Winter
243,0.2,52,0.7,1726,0,0,Winter
169,0.3,53,0.5,1748,0,0,Winter
71,0.4,52,1.6,1816,0,0,Winter
13,0.3,74,1,178,0,0.7,Winter
9,-0.5,90,0.9,91,2.5,2.7,Winter
20,-0.4,92,1.1,121,0,4,Winter
35,-0.2,90,1.2,378,0,4.1,Winter
31,0.2,90,1,305,1.6,4.3,Winter
19,0.5,91,0.4,143,0,4.3,Winter
58,0.9,92,0.9,137,0,3.9,Winter
119,2.3,88,0.3,245,0,3.1,Winter
182,3.3,87,1.1,230,0,2.1,Winter
235,4.2,85,0.7,325,0,1.4,Winter
180,6.7,63,4.5,715,0,1,Winter
214,5.4,71,3.5,622,0,0.5,Winter
226,3.6,65,4.3,1061,0,0.4,Winter
210,2,61,3,2000,0,0,Winter
181,1.6,53,4,2000,0,0,Winter
165,0.6,57,3.9,1954,0,0,Winter
167,0,59,3,1862,0,0,Winter
152,-1,56,4.7,2000,0,0,Winter
148,-1.4,43,4.3,2000,0,0,Winter
125,-2.5,39,3.4,2000,0,0,Winter
111,-3.4,36,3.8,2000,0,0,Winter
67,-4.2,35,3.4,2000,0,0,Winter
45,-4.7,38,2.4,2000,0,0,Winter
44,-5.2,35,3.2,2000,0,0,Winter
86,-5.6,38,3.2,1974,0,0,Winter
136,-5.9,39,2.9,1979,0,0,Winter
325,-6,39,3.1,1996,0,0,Winter
653,-6,38,3.6,1994,0,0,Winter
326,-5.9,36,5.1,1941,0,0,Winter
212,-5.3,32,4.5,2000,0,0,Winter
226,-4.7,36,3.8,2000,0,0,Winter
247,-5.2,33,4.6,1973,0,0,Winter
241,-5.4,32,5.1,1986,0,0,Winter
253,-5.4,31,4.1,1945,0,0,Winter
269,-5.5,33,4.5,2000,0,0,Winter
277,-6,40,4,2000,0,0,Winter
361,-7.1,44,4.2,2000,0,0,Winter
557,-7.9,43,3.3,2000,0,0,Winter
371,-8.6,45,3.9,2000,0,0,Winter
254,-9.3,49,3.8,2000,0,0,Winter
266,-9.7,51,2.5,2000,0,0,Winter
222,-10.2,50,3,2000,0,0,Winter
174,-10.7,53,1.2,2000,0,0,Winter
133,-11,51,1.1,2000,0,0,Winter
127,-11.2,51,1.1,2000,0,0,Winter
95,-11.5,50,0.7,2000,0,0,Winter
54,-11.6,50,2.2,1995,0,0,Winter
46,-11.6,47,2.1,1982,0,0,Winter
65,-11.6,45,2.8,1951,0,0,Winter
104,-11.8,47,2.5,1973,0,0,Winter
280,-12.1,50,2.3,1929,0,0,Winter
580,-12.3,52,1.3,1914,0,0,Winter
275,-11.8,46,2.9,1956,0,0,Winter
184,-10.5,45,3.3,1855,0,0,Winter
201,-9.4,42,3.1,1815,0,0,Winter
228,-8.3,35,2.9,1967,0,0,Winter
225,-6.9,37,2.4,1955,0,0,Winter
258,-5.4,32,2,1930,0,0,Winter
250,-5.8,30,2.8,2000,0,0,Winter
248,-6,29,2.8,1983,0,0,Winter
305,-7,32,2.6,2000,0,0,Winter
529,-7.7,36,1,2000,0,0,Winter
350,-8.2,43,1.1,2000,0,0,Winter
260,-8.4,42,1,2000,0,0,Winter
270,-8.8,43,1.4,1999,0,0,Winter
256,-9,45,1.3,1999,0,0,Winter
173,-9.3,47,2.1,2000,0,0,Winter
168,-9.5,48,1.3,1996,0,0,Winter
183,-10.2,52,1.6,1997,0,0,Winter
120,-10.4,53,1.8,1949,0,0,Winter
79,-10.9,55,1.8,1913,0,0,Winter
41,-11.4,58,1.3,1907,0,0,Winter
68,-11.5,58,1.1,1923,0,0,Winter
109,-11.9,57,1.1,1974,0,0,Winter
310,-11.7,53,1.6,1998,0,0,Winter
591,-11.4,47,3.3,2000,0,0,Winter
340,-11.1,46,3.4,1981,0,0,Winter
202,-9.5,39,2.1,1875,0,0,Winter
251,-8.1,35,1.8,1806,0,0,Winter
267,-6.5,30,2.9,1945,0,0,Winter
251,-5.8,28,2.9,1887,0,0,Winter
240,-4.7,27,2.9,1883,0,0,Winter
240,-4.9,26,3.1,1887,0,0,Winter
278,-4.5,26,2.2,2000,0,0,Winter
392,-5.6,29,1.7,2000,0,0,Winter
537,-6.6,33,1.1,2000,0,0,Winter
373,-6.6,31,1.6,2000,0,0,Winter
263,-7.6,35,0.8,2000,0,0,Winter
271,-8.3,39,1,2000,0,0,Winter
271,-8.9,39,0.1,2000,0,0,Winter
174,-9.2,44,0.4,1978,0,0,Winter
171,-9.5,50,0.6,1953,0,0,Winter
170,-9.8,48,0.8,2000,0,0,Winter
107,-10.6,44,0.8,1903,0,0,Winter
80,-10.7,48,0.4,1651,0,0,Winter
52,-11,50,0.8,1718,0,0,Winter
62,-10.8,48,0.8,1648,0,0,Winter
108,-11,55,0.8,1541,0,0,Winter
279,-10.9,57,1.1,1387,0,0,Winter
621,-10.4,54,1.1,1432,0,0,Winter
305,-9.4,44,0.5,1680,0,0,Winter
189,-7.7,43,0.9,1555,0,0,Winter
247,-6.1,38,1,1587,0,0,Winter
278,-4.9,34,1.3,1768,0,0,Winter
282,-3.8,32,0.9,1827,0,0,Winter
294,-2.7,28,0.7,1857,0,0,Winter
301,-2.5,29,1.1,1667,0,0,Winter
335,-2.4,28,0.9,1878,0,0,Winter
382,-2.9,31,0.6,1723,0,0,Winter
612,-3.5,35,1.1,1414,0,0,Winter
410,-4.2,40,0.9,1216,0,0,Winter
277,-4.8,43,1.1,1397,0,0,Winter
316,-4.8,45,0.8,1351,0,0,Winter
309,-4.9,44,1.1,1369,0,0,Winter
211,-5.6,53,1.2,1290,0,0,Winter
227,-5.7,53,0.6,1262,0,0,Winter
241,-6.3,57,0.4,1148,0,0,Winter
162,-6.8,58,0.4,1089,0,0,Winter
110,-6.9,56,0.5,1111,0,0,Winter
69,-7.1,59,0.8,1058,0,0,Winter
68,-7.5,64,0.9,989,0,0,Winter
129,-7.4,64,0.7,906,0,0,Winter
285,-7,63,0.6,865,0,0,Winter
658,-6.6,64,1.1,791,0,0,Winter
330,-5.9,60,0.6,691,0,0,Winter
221,-4.6,52,0.8,648,0,0,Winter
279,-2.9,46,1,809,0,0,Winter
309,-2.5,43,0.7,895,0,0,Winter
325,-1.6,40,0.3,868,0,0,Winter
329,-0.7,39,0.8,826,0,0,Winter
342,0.1,35,1.5,946,0,0,Winter
354,0,37,0.6,994,0,0,Winter
464,-0.2,39,0.8,1016,0,0,Winter
682,0.1,43,0.9,1485,0,0,Winter
451,0.6,41,1.2,1550,0,0,Winter
320,0.9,42,1.2,1113,0,0,Winter
300,0.7,47,2.7,1283,0,0,Winter
296,-0.1,49,2,870,0,0,Winter
247,-1.3,60,2.5,792,0,0,Winter
217,-2.6,73,3.4,787,0,0,Winter
302,-3.4,76,2.9,582,0,0,Winter
228,-4.1,73,2.1,567,0,0,Winter
129,-4.5,71,1.6,651,0,0,Winter
80,-5,70,2.7,702,0,0,Winter
45,-5.6,72,2,662,0,0,Winter
66,-6.1,69,2.9,765,0,0,Winter
90,-6.7,64,2.1,977,0,0,Winter
190,-7.3,62,2.6,1112,0,0,Winter
195,-7.2,47,2.8,1724,0,0,Winter
201,-6.2,42,2.3,1893,0,0,Winter
239,-5.2,30,4,1991,0,0,Winter
252,-4.1,28,3.8,1998,0,0,Winter
296,-3.7,23,4,1980,0,0,Winter
292,-3.4,22,4.3,1966,0,0,Winter
291,-3.3,22,5,2000,0,0,Winter
258,-3.3,24,3.5,2000,0,0,Winter
277,-4.6,26,2.6,2000,0,0,Winter
212,-5.3,28,3.5,2000,0,0,Winter
173,-6,32,2.4,2000,0,0,Winter
143,-6.6,37,3.4,2000,0,0,Winter
159,-7.1,39,3.2,2000,0,0,Winter
155,-7.6,41,1.6,2000,0,0,Winter
142,-8,41,2.2,2000,0,0,Winter
175,-8.1,41,2,2000,0,0,Winter
146,-8.4,40,1.6,2000,0,0,Winter
132,-8.7,40,2.8,2000,0,0,Winter
100,-9,40,3.1,2000,0,0,Winter
41,-9.5,40,1.9,2000,0,0,Winter
31,-9.7,41,3.1,2000,0,0,Winter
39,-9.9,42,2.3,2000,0,0,Winter
53,-10.2,42,2.3,2000,0,0,Winter
94,-10.7,43,0.9,2000,0,0,Winter
122,-10.5,38,1.1,1950,0,0,Winter
142,-8.5,31,1.5,1997,0,0,Winter
189,-7.2,29,1.8,1926,0,0,Winter
216,-4.9,25,2.6,1966,0,0,Winter
223,-4.5,25,3.2,1989,0,0,Winter
268,-3.2,26,3.1,1933,0,0,Winter
278,-2.5,28,2,2000,0,0,Winter
256,-2.7,31,2.3,2000,0,0,Winter
266,-3.8,35,2.4,2000,0,0,Winter
204,-4.7,37,1.8,2000,0,0,Winter
157,-5.6,39,1.1,2000,0,0,Winter
166,-6,42,0.8,2000,0,0,Winter
168,-6.5,45,0.7,2000,0,0,Winter
172,-6.6,50,0.6,1990,0,0,Winter
138,-6.9,53,0.7,2000,0,0,Winter
151,-5.9,50,0.6,2000,0,0,Winter
97,-5.3,48,0.4,1664,0,0,Winter
38,-5,65,0.4,990,0,0.2,Winter
32,-5.3,76,1,767,0.3,0.5,Winter
29,-5.4,81,0.7,270,0,0.7,Winter
27,-5.3,81,0.9,923,0,0.8,Winter
45,-5.2,85,0.9,271,0.4,1.3,Winter
96,-5,85,0.7,186,0,1.8,Winter
146,-4.6,86,1.2,508,0,2,Winter
52,-4.3,89,1,59,1.6,4,Winter
36,-3.7,87,1,541,0,4.8,Winter
44,-2.9,85,1.2,243,0,4.8,Winter
62,-1.8,83,1.2,351,1.1,5.1,Winter
76,-0.9,84,1.2,333,0,5,Winter
116,0.5,76,0.9,364,0,4.2,Winter
137,1.6,73,0.9,421,0,3.2,Winter
181,1.8,76,0.8,410,0,2.7,Winter
175,0.4,84,0.8,317,0,2.7,Winter
281,0,88,0.6,277,0,2.7,Winter
198,1.3,65,1.1,1122,0,2.7,Winter
165,3.3,65,3.2,1172,0,2.7,Winter
148,2.8,73,2.4,831,0,2.6,Winter
160,1.5,82,2.4,537,0,2.6,Winter
128,0.1,81,2.9,551,0,2.6,Winter
122,-1,73,2.3,881,0,2.6,Winter
122,-2,72,0.8,979,0,2.6,Winter
93,-2.7,72,0.9,990,0,2.6,Winter
55,-2.8,58,1.6,1315,0,2.6,Winter
39,-2.9,59,1.8,1286,0,2.6,Winter
55,-3.9,66,0.7,1209,0,2.6,Winter
78,-4.3,70,1.6,1169,0,2.6,Winter
165,-4.4,64,2.8,1367,0,2.6,Winter
390,-5.2,58,2.2,1594,0,2.5,Winter
199,-5.3,48,2.6,1810,0,2.5,Winter
151,-4.6,41,2.8,1815,0,2.5,Winter
174,-3.5,35,2.2,1742,0,2.5,Winter
191,-2.5,31,2.6,1778,0,2.3,Winter
189,-2.2,25,3.2,1970,0,2.2,Winter
178,-2.2,23,3.7,1971,0,2.2,Winter
195,-1.3,26,3,2000,0,2.1,Winter
211,-1.8,31,3.1,1993,0,2,Winter
256,-2.7,35,1.8,2000,0,2,Winter
384,-3.8,42,3.3,2000,0,2,Winter
276,-4.5,51,2,2000,0,2,Winter
225,-4.9,55,2,2000,0,2,Winter
224,-5,57,1.9,2000,0,2,Winter
213,-5.5,56,1.5,2000,0,2,Winter
149,-5.8,57,1.7,2000,0,2,Winter
142,-6.5,63,1.5,1666,0,2,Winter
172,-7.3,67,1.1,1593,0,2,Winter
108,-7.8,68,0.9,1642,0,2,Winter
71,-8.1,70,1.3,1557,0,2,Winter
38,-8.5,73,1,1723,0,2,Winter
56,-8.3,67,0.9,1566,0,2,Winter
97,-8.2,66,0.9,1718,0,2,Winter
213,-8.1,67,0.9,1737,0,2,Winter
466,-7.8,65,1.1,1738,0,2,Winter
239,-6.7,62,1.1,1749,0,2,Winter
162,-5.4,56,1.1,1751,0,2,Winter
204,-4.2,51,1.1,1772,0,1.9,Winter
209,-3.2,49,1.3,1723,0,1.9,Winter
228,-1.3,43,1,1777,0,1.7,Winter
243,-0.5,44,1,1793,0,1.7,Winter
240,-0.2,45,1,1852,0,1.6,Winter
225,-0.5,48,1.1,1722,0,1.6,Winter
237,-0.9,70,1.1,299,0,2.2,Winter
329,-1.4,79,1.6,702,0.1,2.2,Winter
190,-1.5,81,1.8,751,0,2.2,Winter
165,-1.9,86,0.9,700,0,2.4,Winter
197,-2,83,1.2,904,0.1,2.4,Winter
184,-1.6,82,0.4,929,0,2.3,Winter
153,-1.1,87,1.4,349,0,2.2,Winter
166,-1.3,90,2,259,0,2.2,Winter
189,-1.8,90,1.6,263,0,2.2,Winter
132,-2.2,88,1.4,348,0,2.2,Winter
79,-2.9,89,1.3,288,0,2.2,Winter
58,-3.6,91,1.2,241,0,2.2,Winter
49,-4.3,91,1.5,233,0,2.2,Winter
84,-4.8,91,1.1,266,0,2.2,Winter
178,-5.3,90,1.1,311,0,2.2,Winter
423,-5.6,89,0.9,371,0,2.2,Winter
265,-5.3,88,0.4,463,0,2.2,Winter
169,-3,71,0.7,608,0,2.1,Winter
243,-0.7,62,0.7,519,0,2,Winter
290,1.9,40,2,1835,0,1.9,Winter
285,3.2,42,1.8,1349,0,1.8,Winter
255,4.3,47,2.3,953,0,1.6,Winter
316,4.4,46,1.4,1113,0,1,Winter
301,4.1,51,1.8,1112,0,0.9,Winter
366,2.9,60,1.3,1193,0,0.8,Winter
531,1.7,64,1.3,1140,0,0.8,Winter
355,0.8,71,0.9,923,0,0.8,Winter
288,0.2,72,0.7,990,0,0.8,Winter
248,-0.4,74,0.6,1065,0,0.8,Winter
252,-1.1,78,0.6,865,0,0.8,Winter
212,-1.5,79,0.6,821,0,0.8,Winter
196,-1.7,79,0.5,794,0,0.8,Winter
250,-1.6,79,0.6,784,0,0.8,Winter
161,-1.1,79,0.7,736,0,0.8,Winter
99,-0.6,76,0.5,789,0,0.7,Winter
64,-0.3,76,0.9,760,0,0.7,Winter
76,-0.2,73,0.8,880,0,0.7,Winter
114,-0.1,71,0.8,895,0,0.7,Winter
283,-0.3,72,0.7,919,0,0.7,Winter
544,-0.4,69,0.5,904,0,0.7,Winter
298,0.3,67,0.7,897,0,0.6,Winter
248,1.4,64,1,897,0,0.5,Winter
278,3.1,57,0.8,804,0,0,Winter
301,4.5,56,0.8,836,0,0,Winter
320,5.4,55,1.2,820,0,0,Winter
326,5.9,55,0.6,779,0,0,Winter
386,6.5,55,0.9,801,0,0,Winter
416,6,58,0.7,732,0,0,Winter
477,5.4,61,1.3,691,0,0,Winter
671,4.9,63,0.6,677,0,0,Winter
481,5.2,64,0.7,691,0,0,Winter
323,5.9,67,1.3,779,0,0,Winter
309,6.1,70,2.2,763,0,0,Winter
314,6.1,70,2.7,806,0,0,Winter
249,5.8,74,2.5,832,0,0,Winter
282,5.8,75,1.9,788,0,0,Winter
337,5.7,75,1.7,706,0,0,Winter
312,5.6,76,1.6,641,0,0,Winter
230,5.4,77,1.6,583,0,0,Winter
120,5.3,79,0.9,506,0,0,Winter
59,5,81,1.2,425,0,0,Winter
63,5.1,81,1.3,375,0,0,Winter
99,5.1,82,0.7,334,0,0,Winter
188,5.1,83,0.9,297,0,0,Winter
239,5.2,84,0.7,226,0,0,Winter
235,5.4,82,1.2,215,0,0,Winter
282,5.7,81,1.1,192,0,0,Winter
325,7,72,1.9,246,0,0,Winter
423,7.7,68,1,249,0,0,Winter
405,8.6,63,1.6,263,0,0,Winter
443,8.6,64,1.5,269,0,0,Winter
473,8.2,64,1,281,0,0,Winter
453,7.7,67,0.9,264,0,0,Winter
340,6.6,73,0.4,229,0,0,Winter
260,6,76,1.1,219,0,0,Winter
258,5.9,75,1.5,222,0,0,Winter
279,5.6,77,0.9,212,0,0,Winter
282,5.3,79,0.6,200,0,0,Winter
237,5.5,80,0.6,185,0,0,Winter
266,5.6,78,0.6,196,0,0,Winter
251,5.6,78,0.5,197,0,0,Winter
196,5.4,80,0.9,190,0,0,Winter
149,5.2,82,0.8,190,0,0,Winter
79,5.2,82,0.7,189,0,0,Winter
44,5.1,82,0.6,185,0,0,Winter
12,4.9,84,1.3,159,0.1,0,Winter
3,4.7,89,1.1,100,0,0,Winter
4,4.6,91,1.7,95,0,0,Winter
3,4.6,94,0.9,90,6.4,0,Winter
4,4.8,96,0.6,87,0,0,Winter
9,4.6,95,0.8,156,0,0,Winter
4,4.1,91,0.8,404,9.5,0,Winter
7,3.7,90,0.7,744,0,0,Winter
28,3.3,90,2.5,561,0,0,Winter
38,2.9,90,2,380,3.5,0,Winter
54,2.3,91,3.3,270,0,0,Winter
104,2.2,86,2.6,605,0,0,Winter
128,1.9,82,4.3,699,0.5,0,Winter
132,1.1,68,4.4,695,0,0,Winter
116,0.6,67,3.3,506,0,0,Winter
145,0.4,69,3.5,477,0,0,Winter
110,0.2,69,2.7,565,0,0,Winter
128,0,63,3.2,884,0,0,Winter
160,-0.6,64,2.4,1010,0,0,Winter
132,-1.2,57,4.3,1429,0,0,Winter
115,-1.8,53,4.1,1825,0,0,Winter
100,-2.3,52,3.4,1947,0,0,Winter
72,-3,51,3.2,2000,0,0,Winter
32,-3.7,51,2.6,2000,0,0,Winter
59,-4.1,50,3,2000,0,0,Winter
61,-4.6,46,2.8,2000,0,0,Winter
94,-4.9,44,3,2000,0,0,Winter
107,-4.6,40,3.5,2000,0,0,Winter
133,-3.7,35,3.7,1937,0,0,Winter
179,-2.8,35,2.9,1984,0,0,Winter
221,-1.6,33,2.5,1874,0,0,Winter
244,-1.5,33,3.8,2000,0,0,Winter
274,-0.4,31,2,2000,0,0,Winter
319,0.4,28,2.5,2000,0,0,Winter
272,0.4,27,2,2000,0,0,Winter
260,-0.7,29,2,2000,0,0,Winter
237,-1.6,33,2,2000,0,0,Winter
